순위,관광지ID,관심지점명,구분,연령대,비율
1,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,20,19.1
2,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,20,12.8
3,38a26a16270ce8f2cf503ba9650b6c94,을왕리해수욕장,관광명소,20,11.5
4,0d584d8e5e5d47817494c2f73ef30908,월미도,관광명소,20,9.7
5,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,20,8.6
6,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,20,8.3
7,c63b5b337225ae746ba52eb7f398aac1,광안리해수욕장,관광명소,20,8.2
8,c42f4fdc51ef1e5b896e680979ec3ecc,오이도빨강등대,관광명소,20,7.8
9,b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,관광명소,20,7.5
10,72dfb0b0526f0b49c2b9190b49887e87,광교호수공원,관광명소,20,6.6
