순위,관광지ID,관심지점명,구분,연령대,비율
1,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,전체,21.6
2,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,전체,16.2
3,e871c31f2d8767492bd2063733a23ec3,킨텍스제1전시장,문화생활시설,전체,9.7
4,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,전체,8.7
5,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,전체,8.3
6,0d584d8e5e5d47817494c2f73ef30908,월미도,관광명소,전체,7.5
7,38a26a16270ce8f2cf503ba9650b6c94,을왕리해수욕장,관광명소,전체,7.2
8,817c4a3902258090a27aca081b01743f,속초해변,관광명소,전체,7.1
9,ede5898c7b76ed7fbd8ec451ec4dbf83,서울대공원,레저/스포츠,전체,7.0
10,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,전체,6.7
