순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,50,18.0
2,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,50,13.5
3,e871c31f2d8767492bd2063733a23ec3,킨텍스제1전시장,문화생활시설,50,12.3
4,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,50,10.1
5,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,50,8.1
6,817c4a3902258090a27aca081b01743f,속초해변,관광명소,50,8.0
7,38a26a16270ce8f2cf503ba9650b6c94,을왕리해수욕장,관광명소,50,7.9
8,276874ccf43c6c5c48e4cfaf7841a223,킨텍스제2전시장,문화생활시설,50,7.4
9,72c38469b443dcd14b3a2c8a954e11de,통도사,종교,50,7.4
10,511bb5c2dc7ee740a2df2fa25c4cd231,전주한옥마을,관광명소,50,7.2
